id,dataset,headline,keywords
1,4,"Anggota DPR Usul Program MBG Diubah Jadi Makan Bergizi, Tanpa Kata ""Gratis""","usul dpr, hapus kata gratis, rebranding"
2,4,"Tak Sekadar Penuhi Gizi Siswa, Program MBG Juga Hidupkan UMKM Purworejo","umkm, purworejo, ekonomi lokal"
3,4,"Banyak Kasus Keracunan MBG, Istana: Hampir Semua karena Dapur Tidak Jalankan SOP","istana, sop, standar operasional, pengawasan dapur"
4,4,"MBG Dipelesetkan Jadi 'Makan Beracun Gratis', Kepala BGN: Hak Masing-masing","plesetan, makan beracun gratis, hak masing-masing"
5,4,"Kenapa Makan Bergizi Tak Disetop Sementara Usai KLB Keracunan? Ini Kata BGN","tidak disetop, klb keracunan, kebijakan"
6,4,"P2G Kritik Dapur MBG Baru Diwajibkan Sertifikat HACCP: Mestinya dari Awal","p2g, haccp, sertifikat, kritik dapur"
7,4,"Kementerian Keuangan: Realisasi Anggaran Makan Bergizi Gratis Naik 3 Kali Lipat","kementerian keuangan, naik 3 kali lipat, realisasi anggaran"
8,4,"Menteri Budi Gunadi Beberkan Penyebab Keracunan MBG","budi gunadi, menteri kesehatan, penyebab keracunan"
9,4,"Keracunan Menimpa Ribuan Anak-anak, Program MBG Perlu Dihentikan?","ribuan anak, hentikan, risiko kesehatan"
10,4,"Prabowo Perintahkan Dapur MBG Wajib Dilengkapi Alat Sterilisasi","prabowo, sterilisasi, alat dapur, perintah"
