created_at;full_text;tweet_url;media;relevan;link 
08/09/2025 13:08;Pemerintah tegaskan komitmen untuk memastikan Program Makan Bergizi Gratis (MBG) tidak hanya memenuhi kebutuhan gizi tapi juga menjamin pangan yang aman sehat halal dan thayyib. #YangPentingHalal #MakanBergiziGratis #BPJPH #BadanGiziNasional #Halal https://t.co/HFw4uRLbut;https://x.com/undefined/status/1965039463475945875;media;relevan;https://x.com/undefined/status/1965039463475945875
08/09/2025 14:31;MBG = Makan Bicep Gratis https://t.co/4zSrBGBRtA;https://x.com/undefined/status/1965060431414018080;not media;not relevan;https://x.com/undefined/status/1965060431414018080
08/09/2025 13:42;Program makan bergizi gratis atau MBG itu bukti nyata pemerintah serius hadir dengan pengelolaan transparan tanpa mark up dan anti korupsi https://t.co/VNCEkH99zm;https://x.com/undefined/status/1965048126525591773;not media;not relevan;https://x.com/undefined/status/1965048126525591773
08/09/2025 11:25;Pemerintah serius dong menghadirkan makan bergizi gratis MBG semua prosesnya at cost transparan dan diawasi langsung oleh BPKP dan KPK https://t.co/Rnq2sInZBY;https://x.com/undefined/status/1965013663846461894;not media;not relevan;https://x.com/undefined/status/1965013663846461894
08/09/2025 14:21;MBG wajib hukumnya kelola makan bergizi gratis dengan dana transparan dan harga pasar biar aman https://t.co/Or14scfjMM;https://x.com/undefined/status/1965057925447311574;not media;relevan;https://x.com/undefined/status/1965057925447311574
08/09/2025 13:36;Lewat MBG anak bangsa dapat makan bergizi gratis secara bersih pengelolaan dana terbuka harga at cost diawasi ketat https://t.co/J0IOPGGDnb;https://x.com/undefined/status/1965046498846187639;not media;not relevan;https://x.com/undefined/status/1965046498846187639
08/09/2025 13:25;MBG berkomitmen makan bergizi gratis yang aman pengelolaan dana transparan at cost selalu diawasi lembaga independen https://t.co/Ys4g9KLL45;https://x.com/undefined/status/1965043844690669569;not media;not relevan;https://x.com/undefined/status/1965043844690669569
08/09/2025 14:44;Makan bergizi gratis bisa jadi nyata lewat MBG pengelolaannya transparan harga beneran at cost diawasi supaya uang negara tepat guna https://t.co/GiJokyAMDi;https://x.com/undefined/status/1965063614982930910;not media;relevan;https://x.com/undefined/status/1965063614982930910
08/09/2025 13:42;"Makan bergizi gratis berkat MBG anggaran dikelola sesuai harga pasar dan transparan lewat KPPN ada pengawasan BPKP &amp; KPK jadi pasti tepat dan bersih https://t.co/M3ehBsMF8G";https://x.com/undefined/status/1965048155592077365;not media;not relevan;https://x.com/undefined/status/1965048155592077365
08/09/2025 15:08;Semua program makan bergizi gratis di MBG jelas at cost pengelolaan dana lewat KPPN biar transparan BPKP dan KPK terus memantau https://t.co/6plxccwWam;https://x.com/undefined/status/1965069801728139711;not media;relevan;https://x.com/undefined/status/1965069801728139711
08/09/2025 13:44;Mau makan bergizi gratis yang terpercaya? MBG jawabannya kelola anggaran terbuka awasi BPKP dan KPK harga at cost pemerintah gak main-main prioritaskan anak bangsa https://t.co/sM59LdO5fh;https://x.com/undefined/status/1965048535071813885;not media;not relevan;https://x.com/undefined/status/1965048535071813885
08/09/2025 14:56;Pemerintah buktiin lewat MBG bahwa makan bergizi gratis itu bisa dikelola transparan harga at cost semua open nggak bisa dimark up https://t.co/4O5lwR9TBp;https://x.com/undefined/status/1965066783452533204;not media;relevan;https://x.com/undefined/status/1965066783452533204
08/09/2025 13:51;Program makan bergizi gratis nggak sembarangan KPPN urus transparan at cost BPKP dan KPK juga ikut pantau semua proses https://t.co/jE5EHmvzSz;https://x.com/undefined/status/1965050432595898572;not media;relevan;https://x.com/undefined/status/1965050432595898572
08/09/2025 23:37;Babinsa Desa Gunung Perak Koramil 1424-02/Sinjai Barat Kodim 1424/Sinjai melaksanakan kegiatan komunikasi sosial dan pemantauan pembangunan dapur sehat Mandiri dalam rangka Pelayanan Makan Bergizi Gratis (MBG) #tniad #dispenad #puspentni #TNIindonesia https://t.co/uoFNKSgHT9;https://x.com/undefined/status/1965197767946764488;media;relevan;https://x.com/undefined/status/1965197767946764488
08/09/2025 14:08;Makan bergizi gratis jadi nyata lewat MBG yang dikelola terbuka harga sesuai pasar diawasi agar anti korupsi https://t.co/8W1TCtboKq;https://x.com/undefined/status/1965054517894140160;not media;relevan;https://x.com/undefined/status/1965054517894140160
08/09/2025 13:19;MBG jawab tantangan buat makan bergizi gratis dengan sistem pengelolaan terbuka at cost tanpa mark up pengawasan maksimal anti korupsi https://t.co/UTU3M970vo;https://x.com/undefined/status/1965042434368569789;not media;relevan;https://x.com/undefined/status/1965042434368569789
08/09/2025 14:39;Atur dana makan bergizi gratis terbuka dan at cost lewat MBG BPKP dan KPK pastikan semuanya berjalan jujur tanpa mark up https://t.co/Eae7R2vFfo;https://x.com/undefined/status/1965062491337359429;not media;relevan;https://x.com/undefined/status/1965062491337359429
08/09/2025 14:35;Anggaran MBG buat makan bergizi gratis nggak bisa asal semuanya sesuai harga pasar dan selalu diawasi https://t.co/BwzG59yTAq;https://x.com/undefined/status/1965061532280324575;not media;relevan;https://x.com/undefined/status/1965061532280324575
08/09/2025 13:55;Makan bergizi gratis makin terjaga dengan MBG karena setiap anggaran terbuka harga at cost BPKP dan KPK selalu mengawasi prosesnya https://t.co/ogZ42Sjzyt;https://x.com/undefined/status/1965051422019657904;not media;relevan;https://x.com/undefined/status/1965051422019657904
08/09/2025 15:00;MBG atau makan bergizi gratis jadi bukti pemerintah menghadirkan masa depan cerah dengan anggaran transparan plus pengawasan ketat BPKP dan KPK https://t.co/V3TFghQdXy;https://x.com/undefined/status/1965067796540514743;not media;relevan;https://x.com/undefined/status/1965067796540514743
08/09/2025 14:23;Makan bergizi gratis dari MBG bukan asal program anggarannya dikelola transparan sesuai harga anti mark up dan diawasi KPK https://t.co/mVXX7Vix8u;https://x.com/undefined/status/1965058347562053812;not media;relevan;https://x.com/undefined/status/1965058347562053812
08/09/2025 13:26;MBG jadi bukti keseriusan pemerintah makan bergizi gratis tetap bersih karena diawasi dan dikelola secara transparan https://t.co/emibXvnR1u;https://x.com/undefined/status/1965043957668393311;not media;relevan;https://x.com/undefined/status/1965043957668393311
