created_at;full_text;tweet_url;media;relevan;link
23/09/2025 23:42;Gaji Pegawai MBG lebih besar dari gaji guru Honorer. Ada disuatu daerah gaji guru 1 2 juta. Sedngkan Gaji Pegawai MBG bisa tembus 3 juta. Kan lucu sekali. menaikkan gaji guru alasannya nggk ada dana... #4nje3n664k? https://t.co/ujsFSWEyQD;https://x.com/undefined/status/1970634951898079335;individual;relevan;https://x.com/undefined/status/1970634951898079335
23/09/2025 22:46;Hentikan MBG keracunan sudah merata di seluruh Indonesia berarti ada yg salah dalam pelaksanaa program ini Assalamulaikum pagi 🇲🇨🇪🇭 #keracunanmbg #mbg #hentikanmbg #stopmbg #fyp #fypage #fypreels #stopdungu https://t.co/mTxEhb7ke7;https://x.com/undefined/status/1970620912778313949;individual;relevan;https://x.com/undefined/status/1970620912778313949
23/09/2025 23:43;@somexthread Emang pasti yang disalahin pertama ahli gizi banyak temen ahli gizi kerja di mbg baru 1-2 hari juga mau resign kenapa? Karena vendor sama yayasan licik bahan bakunya beli asal asalan dapur gak sesuai standar budget banyak yang dipotong lagi. Mending berhentiin aja programnya;https://x.com/undefined/status/1970635128058900500;individual;relevan;https://x.com/undefined/status/1970635128058900500
23/09/2025 17:01;Ternyata begini hitungan kontrak vendor MBG. Kok bau amis korupsi ya? https://t.co/0W7Smm3eju;https://x.com/undefined/status/1970534041058422911;individual;relevan;https://x.com/undefined/status/1970534041058422911
23/09/2025 23:29;Program bagus ..krn banyak membantu anak2 yg tak sempet sarapan...yg gak rutin bsa makan... pasti ada yg pro dan kontra... Semua berproses untuk jdi yg baik ..demi generasi kedepan... cm sedih saja klo ada terjadi masalah...ksian anak2 yg jdi korban...️️ MBG Core...seru https://t.co/Y7BvL3hGPv;https://x.com/undefined/status/1970631555686212050;individual;relevan;https://x.com/undefined/status/1970631555686212050
23/09/2025 23:05;Ratusan Siswa Keracunan massal setelah santap Makan Bergizi Gratis (MBG). https://t.co/iO32BUcZBP;https://x.com/undefined/status/1970625482694762612;individual;relevan;https://x.com/undefined/status/1970625482694762612
23/09/2025 23:28;Banyaknya kasus keracunan @puanmaharani_ri minta program MBG di evaluasi total. https://t.co/UrwGEiRkRu;https://x.com/undefined/status/1970631464573354388;individual;relevan;https://x.com/undefined/status/1970631464573354388
23/09/2025 23:53;Stop Jenderal.. Program anda gagal Entah ini program yg benar ap skema rapih utk melenyapkan para calon2 siswa cerdas kelak? (Jika program pembodohan rakyat dicabut) MBG kalian gagal Dipaksakan tanpa penelitian yg jls.. Ap emg entah ini program kalian agar anak negeri mati? https://t.co/dRwQYvwZNJ;https://x.com/undefined/status/1970637584390033562;individual;relevan;https://x.com/undefined/status/1970637584390033562
23/09/2025 23:56; seorang dr. Tan pakar dibidang gizi masyarakat mengkritisi dan mengusulkan moratorium supaya MBG dievaluasi dibilang ngomong gitu karena gak suka sama presiden sama warga tiktok https://t.co/qRWPbF7Njr;https://x.com/undefined/status/1970638340346060951;individual;relevan;https://x.com/undefined/status/1970638340346060951
23/09/2025 16:43;Guru jadi budak program MBG : harus mengelola menu distribusi dan risiko keracunan tanpa insentif. Bahkan beberapa kasus di sekolah menunjukkan tanggung jawab tidak jelas. Sekolah atau orang tua? https://t.co/OvQPrAQA3X;https://x.com/undefined/status/1970529431296049209;individual;relevan;https://x.com/undefined/status/1970529431296049209
