id,dataset,headline,keywords
1,2,"BGN Pastikan Guru dan Penjaga Sekolah Dapat Makan Bergizi Gratis","guru, penjaga sekolah, tendik, tenaga kependidikan"
2,2,"Viral Surat soal Orangtua Diminta Tak Gugat Keracunan MBG, Ini Respons BGN","surat viral, tidak gugat, keracunan, orangtua"
3,2,"Kepala BGN Bantah Tuduhan 5.000 Dapur MBG Fiktif: Itu Kebijakan Roll Back","dapur fiktif, 5000 dapur, roll back, bantah"
4,2,"JPPI Catat 5.360 Anak Alami Keracunan Makan Bergizi Gratis","5360 anak, jppi, keracunan, kasus nasional"
5,2,"Arahan Prabowo, BGN Siapkan Makan Bergizi Gratis untuk Guru","prabowo, arahan, guru, siapkan"
6,2,"5.360 Siswa Keracunan MBG, Siapa yang Bertanggung Jawab?","5360 siswa, keracunan, tanggung jawab"
7,2,"Siswa Plus Guru dan Tendik Juga akan Dapat Makan Bergizi Gratis","siswa, guru, tendik, sekolah"
8,2,"Usulan Makan Bergizi Gratis Jadi Uang Tunai, JPPI: Langkah Baik Tapi Banyak Risiko","uang tunai, bantuan tunai, jppi, risiko"
9,2,"Bos BGN Sebut 8.344 Dapur MBG Didanai Masyarakat","8344 dapur, danai masyarakat, partisipasi"
10,2,"Rentetan Kasus Keracunan di Program Makan Bergizi Gratis","rentetan kasus, keracunan, keamanan pangan"
