id,dataset,headline,keywords
1,3,"Mengapa Program Makan Bergizi Gratis Perlu Dihentikan?","perlu dihentikan, kritik, evaluasi"
2,3,"Nasib Proyek Makan Bergizi Gratis di Tengah Kasus Keracunan Massal","nasib proyek, keracunan massal, kelanjutan"
3,3,"Realokasi Anggaran Makan Bergizi Gratis","realokasi anggaran, efisiensi, belanja negara"
4,3,"Siasat Pemerintah Biar Kasus Keracunan di Makan Bergizi Gratis Tak Terulang","siasat, pencegahan, pengawasan, tak terulang"
5,3,"Potret Pilu Ribuan Anak Sekolah Jadi Korban Makan Bergizi Gratis","potret pilu, korban, anak sekolah, ribuan anak"
6,3,"Marak Keracunan Makan Bergizi Gratis, Prabowo Segera Panggil Kepala BGN","prabowo, panggil, kepala bgn, marak keracunan"
7,3,"Pemerintah Sebut Program MBG Tak Dihentikan meski Ada Kasus Keracunan","tidak dihentikan, lanjut, pemerintah sebut"
8,3,"Kritik Pedas Ahli Gizi yang Miris Lihat Makan Bergizi Gratis","ahli gizi, kritik pedas, miris, kualitas menu"
9,3,"ICW Desak Program Makan Bergizi Gratis Dihentikan","icw, desak, stop"
10,3,"MBG Sejatinya Bukan “Makan Beracun Gratis”","makan beracun gratis, sejatinya, sindiran"
